"mutant_ID","pool","firma","7dpiAlfL_KSUMA","7dpiAlfL_KValor M","7dpiAlfL_Kt-test","7dpiAlfL_HSUMA","7dpiAlfL_HValor M","7dpiAlfL_Ht-test","position","region","contig","Locus_tag","Gene","Protein"
"2011mTn5STM.1.09.E07",9.00,55.00,161.50,-0.20,0.16,101.75,0.24,0.30,2850965.00,"]--Intergenic--[","chromosome","SMc00729","etfB1","electron transfer flavoprotein BETA-subunit BETA-ETF flavoprotein small subunit"
"2011mTn5STM.1.09.E08",9.00,56.00,72.75,0.08,0.78,83.00,-0.50,0.02,353223.00,"RME591985_330","pSymB","SM_b20345","SM_b20345","efflux protein"
"2011mTn5STM.1.09.E09",9.00,122.00,315.75,0.60,9.18664223468862e-03,214.25,0.28,0.21,1263313.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.09.E10",9.00,58.00,135.00,-0.57,0.07,296.75,0.19,0.06,2883216.00,"SME591688_2723","chromosome","SMc00697","SMc00697","hypothetical protein"
"2011mTn5STM.1.09.E11",9.00,59.00,301.50,-0.22,5.39301291549949e-03,391.00,-0.04,0.65,3225677.00,"SME591688_3037","chromosome","SMc03112","metH","B12-dependent methionine synthase"
"2011mTn5STM.1.09.E12",9.00,60.00,531.00,-0.33,0.02,372.75,-0.12,0.40,680454.00,"SME591688_623","chromosome","SMc02307","hisD","histidinol dehydrogenase"
"2011mTn5STM.1.09.F01",9.00,121.00,408.25,-1.13,2.3471716854192e-03,428.25,-1.00,7.57265545483447e-03,1529856.00,"RME591985_1431","pSymB","SM_b20724","SM_b20724","hypothetical protein"
"2011mTn5STM.1.09.F02",9.00,62.00,290.50,-0.03,0.78,317.75,-0.11,0.53,220206.00,"AE006469_216","pSymA","SMa0404","SMa0404","FMN-dependent dehydrogenase"
"2011mTn5STM.1.09.F03",9.00,63.00,238.25,-0.04,0.36,219.00,5.86323500763753e-03,0.95,1262071.00,"AE006469_1214","pSymA","SMa2251","SMa2251","hypothetical protein"
"2011mTn5STM.1.09.F04",9.00,64.00,285.00,0.31,0.07,320.50,0.25,0.31,965880.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.09.F05",9.00,65.00,195.50,0.69,0.41,203.75,0.46,0.56,250565.00,"]--Intergenic--[","pSymB","SM_b20245","SM_b20245","UDP-glucose 4-epimerase"
"2011mTn5STM.1.09.F06",9.00,66.00,158.50,-0.15,0.48,306.25,0.09,0.39,3376729.00,"SME591688_3170","chromosome","SMc03260","TRm17","transposase"
"2011mTn5STM.1.09.F07",9.00,67.00,393.00,-0.11,0.09,306.50,-0.39,0.01,3007479.00,"SME591688_2845","chromosome","SMc04012","pepF","oligoendopeptidase F protein"
"2011mTn5STM.1.09.F08",9.00,68.00,218.50,0.32,0.09,197.75,0.06,0.52,623939.00,"AE006469_619","pSymA","SMa1146","SMa1146","hypothetical protein"
"2011mTn5STM.1.09.F09",9.00,69.00,201.00,-0.17,0.14,204.25,-0.42,0.04,285288.00,"RME591985_269","pSymB","SM_b20280","SM_b20280","hypothetical protein"
"2011mTn5STM.1.09.F10",9.00,70.00,200.75,-0.02,0.74,326.75,0.08,0.56,1594.00,"AE006469_0","pSymA","SMa0002","fdoG","formate dehydrogenase subunit alpha"
"2011mTn5STM.1.09.F11",9.00,71.00,305.50,-0.15,0.35,215.50,-0.32,0.10,1046571.00,"]--Intergenic--[","chromosome","SMc00033","SMc00033","hypothetical protein"
"2011mTn5STM.1.09.F12",9.00,72.00,638.50,-9.52920042076754e-03,0.79,193.50,0.15,0.16,7699.00,"SME591688_9","chromosome","SMc02784","SMc02784","hypothetical protein"
"2011mTn5STM.1.09.G01",9.00,73.00,15.50,-0.30,0.69,20.75,-1.21,7.18350142500535e-03,3517952.00,"SME591688_3295","chromosome","SMc03853","SMc03853","intracellular septation protein A"
"2011mTn5STM.1.09.G02",9.00,74.00,836.50,-0.30,0.04,1128.75,-0.14,0.38,712777.00,"SME591688_659","chromosome","SMc03014","fliF","flagellar MS-ring protein"
"2011mTn5STM.1.09.G03",9.00,169.00,269.25,0.23,0.06,285.50,0.17,0.39,1770163.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.09.G04",9.00,76.00,31.75,-2.59,0.04,20.50,-1.56,0.01,2977533.00,"]--Intergenic--[","chromosome","SMc03981","pgk","phosphoglycerate kinase"
"2011mTn5STM.1.09.G05",9.00,77.00,1013.50,0.94,5.10221907574252e-04,947.50,0.81,3.08261813491356e-03,146512.00,"SME591688_129","chromosome","SMc04128","SMc04128","heavy metal transporting ATPase"
"2011mTn5STM.1.09.G06",9.00,78.00,163.25,0.40,0.02,394.50,-0.08,0.59,12758.00,"SME591688_13","chromosome","SMc02780","gabD1","succinate-semialdehyde dehydrogenase [NADP+ protein"
"2011mTn5STM.1.09.G07",9.00,79.00,254.75,-0.11,0.15,253.75,-0.10,0.56,271673.00,"AE006469_262","pSymA","SMa0498","SMa0498","LysR family transcriptional regulator"
"2011mTn5STM.1.09.G08",9.00,181.00,975.75,0.89,4.41678620726469e-03,972.00,0.99,8.98084107910045e-04,397128.00,"RME591985_370","pSymB","SM_b20385","SM_b20385","hypothetical protein"
"2011mTn5STM.1.09.G09",9.00,81.00,75.00,-0.38,0.27,40.00,-0.12,0.76,1687233.00,"SME591688_1585","chromosome","SMc01235","uvrA","excinuclease ABC subunit A"
"2011mTn5STM.1.09.G10",9.00,82.00,154.75,-0.09,0.61,372.75,-0.53,4.79860370916089e-03,3595922.00,"SME591688_3356","chromosome","SMc04392","SMc04392","dehydrogenase transmembrane protein"
"2011mTn5STM.1.09.G11",9.00,83.00,503.50,0.89,4.95963251420449e-04,452.25,1.18,0.02,1357407.00,"SME591688_1270","chromosome","SMc01811","TRm20C","hypothetical protein"
"2011mTn5STM.1.09.G12",9.00,84.00,561.75,-0.46,0.03,639.00,-0.21,0.09,1153353.00,"AE006469_1115","pSymA","SMa2037","SMa2037","Oxidoreductase"
"2011mTn5STM.1.09.H01",9.00,145.00,279.25,0.33,0.07,165.50,0.26,0.02,2022697.00,"SME591688_1900","chromosome","SMc00147","SMc00147","hypothetical protein"
"2011mTn5STM.1.09.H02",9.00,86.00,360.00,0.07,0.55,551.00,0.40,0.03,2366228.00,"]--Intergenic--[","chromosome","SMc01848","SMc01848","hypothetical protein"
"2011mTn5STM.1.09.H03",9.00,87.00,872.75,0.80,6.55355405120016e-03,687.25,0.49,3.93563945770279e-03,877094.00,"AE006469_861","pSymA","SMa1583","cyaF5","CyaF5 adenylate cyclase"
"2011mTn5STM.1.09.H04",9.00,88.00,674.25,0.40,0.06,248.50,0.33,0.06,735300.00,"AE006469_734","pSymA","SMa1344","SMa1344","ABC transporter ATP-binding protein"
"2011mTn5STM.1.09.H05",9.00,89.00,468.50,-0.24,0.11,256.75,0.23,0.35,872776.00,"AE006469_857","pSymA","SMa1578","cpaA2","CpaA2 pilus assembly protein"
"2011mTn5STM.1.09.H06",9.00,90.00,437.25,-0.35,0.01,550.75,-0.18,0.09,1518687.00,"RME591985_1422","pSymB","SM_b20715","SM_b20715","LysR family transcriptional regulator"
"2011mTn5STM.1.09.H07",9.00,91.00,268.00,0.38,0.03,1257.50,0.62,2.00398411156288e-03,758202.00,"]--Intergenic--[","chromosome","SMc03061","aglE","alpha-glucoside ABC transporter periplasmic-binding protein"
"2011mTn5STM.1.09.H08",9.00,92.00,422.25,0.13,0.31,496.50,-0.14,0.20,442492.00,"AE006469_439","pSymA","SMa0809","SMa0809","hypothetical protein"
"2011mTn5STM.1.09.H09",9.00,146.00,391.75,0.39,0.01,227.00,0.11,0.05,1414631.00,"]--Intergenic--[","pSymB","SM_b21492","SM_b21492","hypothetical protein"
"2011mTn5STM.1.09.H10",9.00,94.00,483.75,-0.25,0.04,494.75,0.07,0.10,121076.00,"SME591688_109","chromosome","SMc04148","SMc04148","aminomethyltransferase"
"2011mTn5STM.1.09.H11",9.00,95.00,369.50,0.10,0.18,6.00,-1.04,0.44,790195.00,"RME591985_728","pSymB","SM_b21225","SM_b21225","inositol monophosphatase"
"2011mTn5STM.1.09.H12",9.00,96.00,215.50,-5.06,3.54426638203363e-06,320.75,-4.22,3.56407621903898e-04,27856.00,"]--Intergenic--[","chromosome","SMc02767","trpF","N-(5'-phosphoribosyl)anthranilate isomerase"
"2011mTn5STM.1.10.A01",10.00,97.00,326.75,-0.31,0.38,309.75,-0.12,0.23,1667654.00,"]--Intergenic--[","pSymB","SM_b21639","paaB","phenylacetate-CoA oxygenase subunit PaaB"
"2011mTn5STM.1.10.A04",10.00,4.00,411.25,0.01,0.87,338.00,0.41,0.27,644834.00,"RME591985_593","pSymB","SM_b21021","SM_b21021","transcriptional regulator"
"2011mTn5STM.1.10.A05",10.00,5.00,636.25,-0.17,0.28,654.50,-0.06,0.13,3552235.00,"SME591688_3327","chromosome","SMc03885","hisC2","histidinol-phosphate aminotransferase"
"2011mTn5STM.1.10.A06",10.00,6.00,429.50,-0.68,0.04,466.00,0.13,0.57,578849.00,"RME591985_530","pSymB","SM_b20552","SM_b20552","hypothetical protein"
"2011mTn5STM.1.10.A07",10.00,7.00,48.25,0.43,0.70,448.75,-0.58,6.27914513542348e-03,915464.00,"AE006469_897","pSymA","SMa1643","SMa1643","hypothetical protein"
"2011mTn5STM.1.10.A08",10.00,8.00,480.25,1.13699686646862e-03,0.99,566.50,0.02,0.90,2226582.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.A09",10.00,9.00,317.75,-0.06,0.81,402.50,0.40,0.12,1767257.00,"SME591688_1662","chromosome","SMc00938","SMc00938","hypothetical protein"
"2011mTn5STM.1.10.A10",10.00,10.00,352.25,-0.12,0.67,390.00,-0.53,0.04,1653008.00,"RME591985_1545","pSymB","SM_b20633","SM_b20633","sugar uptake ABC transporter permease"
"2011mTn5STM.1.10.A11",10.00,11.00,484.50,-0.04,0.51,202.50,-0.06,0.86,1045115.00,"RME591985_957","pSymB","SM_b21380","SM_b21380","catechol 1,2-dioxygenase"
"2011mTn5STM.1.10.A12",10.00,12.00,259.25,0.41,0.51,404.25,0.20,0.14,628375.00,"AE006469_622","pSymA","SMa1151","SMa1151","hypothetical protein"
"2011mTn5STM.1.10.B01",10.00,13.00,513.50,-0.06,0.81,172.00,-0.12,0.77,1314955.00,"SME591688_1224","chromosome","SMc01768","SMc01768","transcriptional regulator"
"2011mTn5STM.1.10.B03",10.00,15.00,341.75,0.25,0.38,331.00,-0.69,5.07453370572027e-03,1120761.00,"AE006469_1080","pSymA","SMa1968","SMa1968","amidotransferase"
"2011mTn5STM.1.10.B04",10.00,16.00,249.50,-0.32,0.21,295.75,-0.03,0.79,292688.00,"AE006469_287","pSymA","SMa0551","SMa0551","N-ethylammeline chlorohydrolase"
"2011mTn5STM.1.10.B05",10.00,17.00,189.25,-0.04,0.90,421.50,0.88,0.09,2211464.00,"SME591688_2089","chromosome","SMc04291","SMc04291","L-sorbosone dehydrogenase (SNDH) protein"
"2011mTn5STM.1.10.B06",10.00,18.00,348.75,0.15,0.29,396.25,-0.12,0.48,3507427.00,"]--Intergenic--[","chromosome","SMc03840","SMc03840","acetyltransferase (antibiotic resistance) protein"
"2011mTn5STM.1.10.B07",10.00,19.00,206.00,-0.59,0.15,254.75,-0.27,0.21,341534.00,"AE006469_334","pSymA","SMa0636","SMa0636","hypothetical protein"
"2011mTn5STM.1.10.B08",10.00,20.00,188.00,-1.37,3.71846917418557e-03,102.25,-1.58,3.13489763028069e-03,833316.00,"RME591985_764","pSymB","SM_b21261","SM_b21261","mureinpeptideoligopeptide ABC transporter substrate-binding protein precursor"
"2011mTn5STM.1.10.B09",10.00,110.00,169.75,-0.51,0.02,177.50,0.23,0.30,429819.00,"AE006469_425","pSymA","SMa0789","SMa0789","GntR family transcriptional regulator"
"2011mTn5STM.1.10.B10",10.00,22.00,136.50,0.01,0.94,115.50,-0.90,0.18,1079975.00,"SME591688_1002","chromosome","SMc00114","ptrB","protease II oligopeptidase B hydrolase serine protease"
"2011mTn5STM.1.10.B11",10.00,23.00,188.00,0.55,0.12,492.50,0.11,0.63,528673.00,"RME591985_487","pSymB","SM_b20506","araH","L-arabinose transporter permease"
"2011mTn5STM.1.10.C01",10.00,25.00,341.50,-0.36,0.21,508.00,-0.58,0.01,3435633.00,"SME591688_3210","chromosome","SMc03768","SMc03768","hypothetical protein"
"2011mTn5STM.1.10.C02",10.00,26.00,487.75,0.26,0.10,327.00,0.12,0.29,2915880.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.C03",10.00,27.00,196.00,0.80,0.23,147.00,-0.21,0.59,,"","","","",""
"2011mTn5STM.1.10.C04",10.00,28.00,430.75,0.38,0.36,478.00,0.76,0.02,300421.00,"AE006469_295","pSymA","SMa0564","SMa0564","dehydrogenase"
"2011mTn5STM.1.10.C05",10.00,29.00,270.00,0.21,0.46,197.50,-0.33,0.31,364365.00,"AE006469_360","pSymA","SMa0680","SMa0680","amino acid (ornithine, lysine, arginine) decarboxylase"
"2011mTn5STM.1.10.C06",10.00,30.00,331.00,0.33,0.34,309.50,-0.05,0.84,858672.00,"SME591688_796","chromosome","SMc00924","SMc00924","hypothetical protein"
"2011mTn5STM.1.10.C07",10.00,31.00,340.75,0.82,0.21,635.25,0.91,0.01,3114412.00,"SME591688_2937","chromosome","SMc03156","SMc03156","hypothetical protein"
"2011mTn5STM.1.10.C08",10.00,32.00,79.00,-0.67,0.25,137.00,-0.47,0.02,311802.00,"SME591688_284","chromosome","SMc00356","genX","lysyl-tRNA synthetase"
"2011mTn5STM.1.10.C09",10.00,33.00,165.00,0.14,0.52,227.00,-0.72,0.06,135314.00,"AE006469_129","pSymA","SMa0244","SMa0244","Dehydrogenase, FAD-dependent"
"2011mTn5STM.1.10.C10",10.00,170.00,117.75,-0.04,0.88,141.50,-0.45,0.13,568697.00,"RME591985_519","pSymB","SM_b20541","SM_b20541","protein in ISRm14"
"2011mTn5STM.1.10.C11",10.00,112.00,125.25,0.46,0.21,367.00,0.43,0.15,2277828.00,"SME591688_2155","chromosome","SMc01432","SMc01432","hypothetical protein"
"2011mTn5STM.1.10.C12",10.00,36.00,603.50,-0.93,0.01,575.75,-0.48,0.11,1302762.00,"RME591985_1187","pSymB","SM_b20894","gguA","sugar uptake ABC transporter ATP-binding protein"
"2011mTn5STM.1.10.D01",10.00,109.00,161.00,0.26,0.38,253.50,-0.12,0.39,677913.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.D02",10.00,38.00,162.25,-0.62,0.09,114.00,-0.23,0.34,3114311.00,"]--Intergenic--[","chromosome","SMc03156","SMc03156","hypothetical protein"
"2011mTn5STM.1.10.D03",10.00,39.00,259.00,0.06,0.65,271.75,-0.34,0.04,1422774.00,"RME591985_1328","pSymB","SM_b21498","acrF","acriflavin resistance protein"
"2011mTn5STM.1.10.D04",10.00,40.00,192.50,0.14,0.49,195.25,0.63,0.22,2380836.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.D05",10.00,41.00,236.50,0.19,0.25,213.75,-0.42,0.11,373134.00,"AE006469_365","pSymA","SMa0689","SMa0689","hypothetical protein"
"2011mTn5STM.1.10.D06",10.00,42.00,82.50,-0.17,0.42,291.75,0.01,0.97,2877462.00,"SME591688_2718","chromosome","SMc00702","SMc00702","signal peptide protein"
"2011mTn5STM.1.10.D07",10.00,43.00,178.50,0.05,0.73,199.75,9.82479762051886e-03,0.97,1909500.00,"SME591688_1804","chromosome","SMc00502","SMc00502","hypothetical protein"
"2011mTn5STM.1.10.D08",10.00,44.00,184.00,-0.25,0.42,157.75,-0.86,0.01,589694.00,"RME591985_543","pSymB","SM_b20804","SM_b20804","hypothetical protein"
"2011mTn5STM.1.10.D09",10.00,45.00,168.00,0.15,0.73,188.50,-0.17,0.53,1120637.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.D10",10.00,46.00,83.75,-0.14,0.65,130.50,-0.39,0.35,3130198.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.D11",10.00,47.00,305.75,-0.39,0.01,348.50,0.09,0.64,379262.00,"AE006469_370","pSymA","SMa0699","SMa0699","hypothetical protein"
"2011mTn5STM.1.10.D12",10.00,48.00,726.25,-0.10,0.42,119.00,-0.96,0.05,2915139.00,"SME591688_2757","chromosome","SMc00663","SMc00663","hypothetical protein"
"2011mTn5STM.1.10.E01",10.00,49.00,296.25,-0.30,0.32,425.75,0.14,0.07,1439965.00,"RME591985_1345","pSymB","SM_b21515","SM_b21515","hypothetical protein"
"2011mTn5STM.1.10.E02",10.00,50.00,293.00,-0.12,0.62,215.75,-0.56,0.14,2967748.00,"SME591688_2805","chromosome","SMc03972","mexE2","multidrug efflux system transmembrane protein"
"2011mTn5STM.1.10.E03",10.00,51.00,174.00,0.08,0.65,182.25,0.34,0.44,1347553.00,"AE006469_1290","pSymA","SMa2385","SMa2385","ABC transporter ATP-binding protein"
"2011mTn5STM.1.10.E04",10.00,52.00,45.00,0.60,0.49,141.75,0.11,0.71,1236977.00,"RME591985_1125","pSymB","SM_b21000","SM_b21000","transporter"
"2011mTn5STM.1.10.E05",10.00,53.00,142.75,0.22,0.35,202.75,-0.42,0.36,1259209.00,"]--Intergenic--[","chromosome","SMc05005","SMc05005","transposase"
"2011mTn5STM.1.10.E06",10.00,54.00,67.00,-0.46,0.37,57.00,0.43,0.63,1187426.00,"RME591985_1083","pSymB","SM_b20959","exoO","glucosyltransferase"
"2011mTn5STM.1.10.E07",10.00,55.00,250.25,-0.29,0.08,200.00,-0.11,0.51,,"","","","",""
"2011mTn5STM.1.10.E08",10.00,56.00,124.25,0.36,0.21,154.25,-0.28,0.61,1343643.00,"AE006469_1287","pSymA","SMa2379","katB","KatB catalase/peroxidase"
"2011mTn5STM.1.10.E09",10.00,122.00,210.50,-0.28,0.63,159.00,-0.10,0.80,994626.00,"RME591985_899","pSymB","SM_b21324","wgaG","glucose-1-phosphate thymidylyltransferase"
"2011mTn5STM.1.10.E10",10.00,58.00,195.50,-0.29,0.68,449.50,-0.62,0.19,147643.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.E11",10.00,59.00,176.00,-0.57,7.59601094641117e-04,264.75,-0.27,0.32,2146804.00,"]--Intergenic--[","chromosome","SMc04340","SMc04340","oxidoreductase"
"2011mTn5STM.1.10.E12",10.00,60.00,519.00,-0.03,0.77,414.50,-0.10,0.64,886517.00,"AE006469_866","pSymA","SMa1591","cyaI3","CyaI3 adenylate/guanylate cyclase"
"2011mTn5STM.1.10.F01",10.00,121.00,203.75,0.58,0.37,234.75,0.14,0.63,1794131.00,"SME591688_1687","chromosome","SMc00229","SMc00229","hypothetical protein"
"2011mTn5STM.1.10.F02",10.00,62.00,183.00,0.09,0.84,211.50,0.48,0.19,1770225.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.F03",10.00,63.00,171.75,-0.54,0.27,163.25,-0.66,0.11,2287645.00,"SME591688_2166","chromosome","SMc01443","gst6","glutathione S-transferase"
"2011mTn5STM.1.10.F04",10.00,64.00,220.75,-0.26,0.55,258.75,-0.66,0.09,176036.00,"RME591985_156","pSymB","SM_b20157","SM_b20157","ABC transporter substrate-binding protein"
"2011mTn5STM.1.10.F05",10.00,65.00,132.00,0.52,0.26,168.50,-0.20,0.26,934816.00,"RME591985_850","pSymB","SM_b21185","gabD2","succinate-semialdehyde dehydrogenase (NAD(P)+) protein"
"2011mTn5STM.1.10.F06",10.00,66.00,235.25,1.08,0.06,449.25,1.15,0.18,2467542.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.F07",10.00,67.00,188.25,-0.23,0.63,159.00,-0.99,0.08,1284443.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.F08",10.00,68.00,251.50,0.15,0.15,252.50,-0.04,0.72,336257.00,"AE006469_328","pSymA","SMa0626","SMa0626","hypothetical protein"
"2011mTn5STM.1.10.F09",10.00,69.00,271.75,-0.11,0.50,246.75,0.10,0.50,1504790.00,"]--Intergenic--[","pSymB","SM_b20703","SM_b20703","hypothetical protein"
"2011mTn5STM.1.10.F10",10.00,70.00,263.75,0.54,0.01,468.50,0.89,0.03,1074104.00,"AE006469_1037","pSymA","SMa1885","SMa1885","membrane efflux protein"
"2011mTn5STM.1.10.F11",10.00,71.00,308.75,-0.36,0.10,279.25,0.06,0.90,474366.00,"SME591688_445","chromosome","SMc01728","ada","transcriptional regulator"
"2011mTn5STM.1.10.F12",10.00,72.00,513.00,0.04,0.78,137.00,0.11,0.45,733090.00,"RME591985_668","pSymB","SM_b21090","SM_b21090","hypothetical protein"
"2011mTn5STM.1.10.G01",10.00,73.00,327.00,0.21,0.33,409.75,-0.58,9.98034821253319e-03,1143634.00,"AE006469_1106","pSymA","SMa2020","SMa2020","Transcriptional regulator"
"2011mTn5STM.1.10.G02",10.00,74.00,895.75,-0.27,0.14,1223.25,0.36,0.38,3201700.00,"SME591688_3015","chromosome","SMc03128","SMc03128","ABC transporter permease"
"2011mTn5STM.1.10.G03",10.00,169.00,596.25,0.84,0.01,636.00,0.62,0.01,487284.00,"SME591688_457","chromosome","SMc01717","merA1","mercuric reductase"
"2011mTn5STM.1.10.G04",10.00,76.00,277.75,0.21,0.62,223.00,0.14,0.71,115810.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.G05",10.00,77.00,456.25,0.42,0.25,447.00,0.19,0.47,597579.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.G06",10.00,78.00,126.25,0.37,0.25,273.25,0.40,0.18,1366655.00,"RME591985_1265","pSymB","SM_b21436","SM_b21436","C4-dicarboxylate transport system, permease large protein transmembrane"
"2011mTn5STM.1.10.G07",10.00,79.00,253.75,0.41,0.10,294.50,0.30,0.32,797144.00,"AE006469_789","pSymA","SMa1445","SMa1445","hypothetical protein"
"2011mTn5STM.1.10.G08",10.00,181.00,316.00,-0.09,0.48,314.25,0.21,0.31,858362.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.G09",10.00,81.00,283.75,-0.07,0.59,215.25,0.07,0.86,1161638.00,"RME591985_1058","pSymB","SM_b20936","SM_b20936","hypothetical protein"
"2011mTn5STM.1.10.G10",10.00,82.00,170.75,0.06,0.86,410.75,-0.73,0.01,3527046.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.10.G11",10.00,83.00,385.50,0.11,0.79,406.00,-0.07,0.77,3595797.00,"SME591688_3356","chromosome","SMc04392","SMc04392","dehydrogenase transmembrane protein"
"2011mTn5STM.1.10.G12",10.00,84.00,534.75,-0.58,0.11,695.75,-0.33,0.07,168029.00,"AE006469_163","pSymA","SMa0302","SMa0302","ABC transporter substrate-binding protein"
"2011mTn5STM.1.10.H01",10.00,145.00,403.00,-0.10,0.27,270.50,-0.06,0.75,577386.00,"RME591985_529","pSymB","SM_b20551","SM_b20551","hypothetical protein"
"2011mTn5STM.1.10.H02",10.00,86.00,286.00,-0.81,7.15668079289031e-03,514.00,-0.75,0.07,1173803.00,"AE006469_1134","pSymA","SMa2077","SMa2077","oxidoreductase"
"2011mTn5STM.1.10.H03",10.00,87.00,524.00,1.78135023714854e-03,0.99,433.00,-0.46,0.05,927937.00,"AE006469_910","pSymA","SMa1662","SMa1662","Cation/multidrug efflux pump"
"2011mTn5STM.1.10.H04",10.00,88.00,504.75,-0.44,0.10,211.75,0.54,0.45,484497.00,"AE006469_478","pSymA","SMa0873","nifN","nitrogenase molybdenum-cofactor biosynthesis protein NifN"
"2011mTn5STM.1.10.H05",10.00,89.00,530.50,-0.33,0.18,319.50,-0.03,0.79,1130329.00,"AE006469_1092","pSymA","SMa1993","SMa1993","hydrolase"
"2011mTn5STM.1.10.H06",10.00,90.00,196.25,-0.01,0.90,344.50,-0.30,0.41,1108790.00,"SME591688_1034","chromosome","SMc02361","cycH","cytochrome C-type biogenesis transmembrane protein"
"2011mTn5STM.1.10.H07",10.00,91.00,156.25,-0.12,0.76,648.25,0.12,0.67,706918.00,"RME591985_648","pSymB","SM_b21070","exoP2","MPA1 family auxiliary surface saccharide export protein"
"2011mTn5STM.1.10.H08",10.00,92.00,409.75,0.14,0.69,423.25,0.25,0.32,870654.00,"RME591985_796","pSymB","SM_b21293","guaD1","guanine deaminase"
"2011mTn5STM.1.10.H09",10.00,146.00,1229.25,1.20,0.01,687.75,1.15,0.02,967279.00,"SME591688_894","chromosome","SMc00973","SMc00973","hypothetical protein"
"2011mTn5STM.1.10.H10",10.00,94.00,598.75,-0.31,0.36,604.00,0.11,0.72,3207220.00,"SME591688_3020","chromosome","SMc03123","SMc03123","transcriptional regulator"
"2011mTn5STM.1.10.H11",10.00,95.00,480.25,0.19,0.37,8.25,-0.98,0.09,652506.00,"SME591688_593","chromosome","SMc02278","SMc02278","hypothetical protein"
"2011mTn5STM.1.10.H12",10.00,96.00,282.00,-0.04,0.88,479.25,0.23,0.51,825700.00,"RME591985_758","pSymB","SM_b21255","SM_b21255","hypothetical protein"
"2011mTn5STM.1.11.A01",11.00,97.00,560.50,0.05,0.76,499.75,0.32,0.23,1994179.00,"SME591688_1876","chromosome","SMc00169","dme","malic enzyme"
"2011mTn5STM.1.11.A04",11.00,4.00,525.50,-0.19,0.36,403.50,-0.12,0.62,556415.00,"AE006469_541","pSymA","SMa1004","SMa1004","hypothetical protein"
"2011mTn5STM.1.11.A05",11.00,5.00,622.75,-0.15,0.35,596.50,0.12,0.65,2448862.00,"SME591688_2303","chromosome","SMc01651","SMc01651","transcriptional regulator"
"2011mTn5STM.1.11.A06",11.00,6.00,393.25,-1.08,6.86160764403923e-03,506.50,-0.93,0.01,590321.00,"SME591688_544","chromosome","SMc02228","fadA","acetyl-CoA acetyltransferase"
"2011mTn5STM.1.11.A07",11.00,7.00,19.00,-0.17,0.58,377.50,-0.26,0.13,1271425.00,"]--Intergenic--[","pSymB","SM_b20866","SM_b20866","hypothetical protein"
"2011mTn5STM.1.11.A08",11.00,8.00,594.00,-0.10,0.39,704.75,-0.07,0.66,289779.00,"RME591985_274","pSymB","SM_b20285","SM_b20285","transcriptional regulator"
"2011mTn5STM.1.11.A09",11.00,9.00,465.25,-0.26,0.09,569.75,-0.01,0.94,3375819.00,"SME591688_3170","chromosome","SMc03260","TRm17","transposase"
"2011mTn5STM.1.11.A10",11.00,10.00,499.00,-0.14,0.39,516.00,-0.23,0.34,41939.00,"RME591985_32","pSymB","SM_b20030","sig","RNA polymerase sigma factor SigJ"
"2011mTn5STM.1.11.A11",11.00,11.00,600.50,-0.28,0.03,250.75,-0.28,0.43,1668339.00,"]--Intergenic--[","pSymB","SM_b21640","paaA","phenylacetate-CoA oxygenase subunit PaaA"
"2011mTn5STM.1.11.A12",11.00,12.00,228.25,0.38,0.04,310.75,0.21,0.19,2466740.00,"]--Intergenic--[","chromosome","SMc01664","SMc01664","transcriptional regulator"
"2011mTn5STM.1.11.B01",11.00,13.00,477.00,-0.23,0.25,159.25,-0.45,0.05,641484.00,"RME591985_591","pSymB","SM_b21018","SM_b21018","sugar ABC transporter permease"
"2011mTn5STM.1.11.B03",11.00,15.00,271.00,0.16,0.60,252.50,-0.30,0.28,2133518.00,"SME591688_2009","chromosome","SMc04315","SMc04315","transcriptional regulator"
